# _raj2000,SDSS,_dej2000
30.41028,J020138.46-010803.9,-1.13443
30.4308,J020143.39-010411.3,-1.06981
30.49376,J020158.50+003318.1,0.55506
30.54936,J020211.84-000749.5,-0.13043
30.55141,J020212.33-000602.2,-0.10063
30.55602,J020213.44-005104.5,-0.85127
30.56913,J020216.59-003159.1,-0.53309
30.6366,J020232.78-001229.9,-0.20831
30.67073,J020240.97+002245.7,0.37938
30.68859,J020245.26-010556.5,-1.09902
30.75159,J020300.38-001505.5,-0.25155
31.1343,J020432.23-010932.8,-1.15911
328.58942,J215421.46-005236.4,-0.87679
31.41798,J020540.31-004141.5,-0.69486
31.43556,J020544.53+005240.2,0.87784
31.54329,J020610.39-000747.3,-0.12981
328.42795,J215342.70+000823.5,0.13988
31.67714,J020642.51-005137.5,-0.86043
328.24615,J215259.07-000903.4,-0.15096
31.8167,J020716.00+003422.8,0.57302
32.07468,J020817.92+010602.6,1.10074
32.08406,J020820.17+011103.3,1.18426
32.2209,J020853.01+004712.6,0.78684
327.71222,J215050.93-005052.6,-0.84795
32.34799,J020923.51+005402.0,0.90058
32.78458,J021108.29-003917.2,-0.65478
32.80193,J021112.46-004933.4,-0.82594
32.81052,J021114.52+010515.4,1.08762
327.13974,J214833.53+005405.2,0.90146
33.08202,J021219.68-004841.4,-0.81151
33.19394,J021246.54+001249.7,0.21381
33.40983,J021338.36-004302.2,-0.71729
33.4865,J021356.76+003152.3,0.5312
34.32102,J021717.04-002518.6,-0.42184
325.31485,J214115.56-001547.7,-0.26326
34.74854,J021859.64+001948.0,0.33001
34.92138,J021941.13-001520.3,-0.25565
324.4227,J213741.44+005316.9,0.88805
35.68362,J022244.07+000746.9,0.12972
324.21466,J213651.51+011406.3,1.2351
323.79086,J213509.81+003335.9,0.55999
36.4445,J022546.68-010711.3,-1.11981
36.50521,J022601.25+010105.1,1.01809
36.52796,J022606.71-001954.9,-0.33193
36.6524,J022636.57+003856.0,0.64889
323.17401,J213241.76-000740.2,-0.12783
36.96433,J022751.44+003005.5,0.50155
323.03387,J213208.12+003635.1,0.60977
322.92877,J213142.90+002128.1,0.35781
37.08691,J022820.85+004114.0,0.68725
322.80731,J213113.75+010445.0,1.07919
37.22794,J022854.70+002213.1,0.37031
322.74942,J213059.86-000002.1,-0.00058
322.70941,J213050.25-005538.9,-0.92748
37.41084,J022938.60+002313.6,0.38711
37.48496,J022956.39+011044.6,1.17907
37.54519,J023010.84-003853.7,-0.64825
37.60564,J023025.35-002151.7,-0.36438
37.65277,J023036.66-004925.3,-0.82369
37.77925,J023107.02-010618.6,-1.10518
322.19925,J212847.81+000301.3,0.05037
37.91067,J023138.56-010457.3,-1.0826
37.96833,J023152.40-001647.4,-0.27985
37.97299,J023153.51+011234.2,1.20951
321.89041,J212733.69-011119.0,-1.18862
38.16371,J023239.29+003702.3,0.61732
38.16738,J023240.17+001536.2,0.26008
38.25518,J023301.24+002515.0,0.42084
38.38154,J023331.57+010823.6,1.1399
321.47403,J212553.76+002457.7,0.41604
38.5749,J023417.97-005918.8,-0.98857
38.6675,J023440.20+003138.1,0.52726
38.66167,J023438.80-010755.9,-1.13221
38.6727,J023441.44-011418.5,-1.2385
38.72858,J023454.85-004745.5,-0.79598
321.22201,J212453.28+010419.4,1.07207
321.14435,J212434.64+005844.6,0.97906
39.04546,J023610.91-005833.8,-0.97607
39.05822,J023613.97-004151.9,-0.69775
39.09844,J023623.62+004230.8,0.70858
39.29541,J023710.89+000043.8,0.0122
39.40784,J023737.88-005420.7,-0.90575
39.66721,J023840.13+002903.2,0.48423
39.71863,J023852.47+003045.5,0.51264
320.20554,J212049.32+004528.3,0.75787
39.81257,J023915.01+002842.5,0.47848
40.04126,J024009.90-005648.6,-0.94685
319.91977,J211940.74+000715.3,0.12094
319.90182,J211936.44+004215.2,0.70423
40.18283,J024043.88+003137.2,0.52702
40.28569,J024108.56-004253.8,-0.71496
40.34388,J024122.53+010640.8,1.11134
40.38866,J024133.28+002305.3,0.38483
40.42225,J024141.34+010736.5,1.12681
40.5307,J024207.36+010108.1,1.01893
40.61358,J024227.26+010214.3,1.03733
40.6322,J024231.73-010055.5,-1.01544
319.18253,J211643.81+001013.1,0.17032
40.87104,J024329.05-010009.8,-1.00272
40.88044,J024331.30+001824.4,0.30681
319.1152,J211627.64-004935.3,-0.82649
319.01575,J211603.77+010106.0,1.01834
41.01594,J024403.83+004629.6,0.7749
41.24378,J024458.50-011015.2,-1.17089
41.24956,J024459.89+010318.5,1.05514
41.28057,J024507.33+005700.5,0.95015
318.58639,J211420.73-000034.7,-0.00966
41.43151,J024543.56-003221.4,-0.5393
41.49317,J024558.36-002657.0,-0.44919
41.52104,J024605.05-003903.4,-0.65095
318.43317,J211343.96+003428.8,0.57469
41.57435,J024617.84-003625.6,-0.6071
41.61367,J024627.28-003930.6,-0.6585
41.64309,J024634.34-005036.7,-0.84352
318.32816,J211318.75-000955.0,-0.16529
318.29996,J211311.99-000836.6,-0.14353
41.72583,J024654.19-003354.7,-0.5652
41.76825,J024704.38-002724.7,-0.45688
41.83814,J024721.15-004453.5,-0.7482
41.86596,J024727.83-001706.4,-0.28512
41.8667,J024728.01+003906.8,0.65191
